STY|T017|Anatomical Structure|A1.2|A normal or pathological part of the anatomy or structural organization of an organism.||Few concepts will be assigned to this broad type.|Y|anst||
STY|T019|Congenital Abnormality|A1.2.2.1|An abnormal structure, or one that is abnormal in size or location, present at birth or evolving over time as a result of a defect in embryogenesis.||If the congenital abnormality involves multiple defects then the type 'Disease or Syndrome' will also be assigned.||cgab||
STY|T020|Acquired Abnormality|A1.2.2.2|An abnormal structure, or one that is abnormal in size or location, found in or deriving from a previously normal structure. Acquired abnormalities are distinguished from diseases even though they may result in pathological functioning (e.g., "hernias incarcerate").||NULL||acab||
STY|T022|Body System|A2.1.4.1|A complex of anatomical structures that performs a common function.||NULL||bdsy||
STY|T023|Body Part, Organ, or Organ Component|A1.2.3.1|A collection of cells and tissues which are localized to a specific area or combine and carry out one or more specialized functions of an organism. This ranges from gross structures to small components of complex organs. These structures are relatively localized in comparison to tissues.||When assigning this type, consider whether 'Body Location or Region' might be the correct choice.||bpoc||
STY|T029|Body Location or Region|A2.1.5.2|An area, subdivision, or region of the body demarcated for the purpose of topographical description.||When assigning this type, consider whether 'Body Part, Organ, or Organ Component' might be the correct choice.|Y|blor||
STY|T030|Body Space or Junction|A2.1.5.1|An area enclosed or surrounded by body parts or organs or the place where two anatomical structures meet or connect.||NULL|Y|bsoj||
STY|T031|Body Substance|A1.4.2|Extracellular material, or mixtures of cells and extracellular material, produced, excreted, or accreted by the body. Included here are substances such as saliva, dental enamel, sweat, and gastric acid.||NULL|Y|bdsu||
STY|T033|Finding|A2.2|That which is discovered by direct observation or measurement of an organism attribute or condition, including the clinical history of the patient. The history of the presence of a disease is a 'Finding' and is distinguished from the disease itself.||Only in rare circumstances will findings be double-typed with either 'Pathologic Function' or 'Anatomical Abnormality'. Most findings will be assigned the types 'Laboratory or Test Result' or 'Sign or Symptom'. Only those findings that relate to patient history or to the determination of a state will be assigned the type 'Finding'.||fndg||
STY|T034|Laboratory or Test Result|A2.2.1|The outcome of a specific test to measure an attribute or to determine the presence, absence, or degree of a condition.||Laboratory or test results are considered inherently quantitative and, thus, are not assigned the additional type 'Quantitative Concept'.||lbtr||
STY|T037|Injury or Poisoning|B2.3|A traumatic wound, injury, or poisoning caused by an external agent or force.||An `Injury or Poisoning' is distinguished from a 'Disease or Syndrome' that may be a result of prolonged exposure to toxic materials.||inpo||
STY|T040|Organism Function|B2.2.1.1.1|A physiologic function of the organism as a whole, of multiple organ systems, or of multiple organs or tissues.||NULL||orgf||
STY|T041|Mental Process|B2.2.1.1.1.1|A physiologic function involving the mind or cognitive processing.||NULL||menp||
STY|T046|Pathologic Function|B2.2.1.2|A disordered process, activity, or state of the organism as a whole, of a body system or systems, or of multiple organs or tissues. Included here are normal responses to a negative stimulus as well as patholologic conditions or states that are less specific than a disease. Pathologic functions frequently have systemic effects.||If the process is specific, for example to a site or substance, then 'Disease or Syndrome' will be assigned and not 'Pathologic Function'. For example, "cerebral anoxia", "brain edema", and "milk hypersensitivity" will all be assigned to 'Disease or Syndrome' only.||patf||
STY|T047|Disease or Syndrome|B2.2.1.2.1|A condition which alters or interferes with a normal process, state, or activity of an organism. It is usually characterized by the abnormal functioning of one or more of the host's systems, parts, or organs. Included here is a complex of symptoms descriptive of a disorder.||Any specific disease or syndrome that is modified by such modifiers as "acute", "prolonged", etc. will also be assigned to this type. If an anatomic abnormality has a pathologic manifestation, then it will be given this type as well as a type from the 'Anatomical Abnormality' hierarchy, e.g., "Diabetic Cataract" will be double-typed for this reason.||dsyn||
STY|T048|Mental or Behavioral Dysfunction|B2.2.1.2.1.1|A clinically significant dysfunction whose major manifestation is behavioral or psychological. These dysfunctions may have identified or presumed biological etiologies or manifestations.||NULL||mobd||
STY|T053|Behavior|B1.1|Any of the psycho-social activities of humans or animals that can be observed directly by others or can be made systematically observable by the use of special strategies.||Few concepts will be assigned to this broad type. For concepts assigned to the 'Behavior' hierarchy, the focus of interest is on the individual or group that is carrying out the activity. When the activity is of paramount interest, then a type from the 'Activity' hierarchy will be chosen. In general, concepts will not receive a type from both the 'Behavior' and the 'Activity' hierarchies.|Y|bhvr||
STY|T054|Social Behavior|B1.1.1|Behavior that is a direct result or function of the interaction of humans or animals with their fellows. This includes behavior that may be considered anti-social.||'Social Behavior' requires the direct participation of others and is, thus, distinguished from 'Individual Behavior' which is carried out by an individual, though others may be present.||socb||
STY|T055|Individual Behavior|B1.1.2|Behavior exhibited by a human or an animal that is not a direct result of interaction with other members of the species, but which may have an effect on others.||'Individual Behavior' is carried out by an individual, though others may be present, and is, thus, distinguished from 'Social Behavior' which requires the direct participation of others.||inbe||
STY|T056|Daily or Recreational Activity|B1.2|An activity carried out for recreation or exercise, or as part of daily life.||NULL||dora||
STY|T059|Laboratory Procedure|B1.3.1.1|A procedure, method, or technique used to determine the composition, quantity, or concentration of a specimen, and which is carried out in a clinical laboratory. Included here are procedures which measure the times and rates of reactions.||NULL||lbpr||
STY|T060|Diagnostic Procedure|B1.3.1.2|A procedure, method, or technique used to determine the nature or identity of a disease or disorder. This excludes procedures which are primarily carried out on specimens in a laboratory.||NULL||diap||
STY|T061|Therapeutic or Preventive Procedure|B1.3.1.3|A procedure, method, or technique designed to prevent a disease or a disorder, or to improve physical function, or used in the process of treating a disease or injury.||NULL||topp||
STY|T074|Medical Device|A1.3.1|A manufactured object used primarily in the diagnosis, treatment, or prevention of physiologic or anatomic disorders.||A medical device may be used for research purposes, but since its primary use is for routine medical care, it is distinguished from a 'Research Device' which is used primarily for research purposes.||medd||
STY|T097|Professional or Occupational Group|A2.9.1|An individual or individuals classified according to their vocation.||If the concept refers to the discipline or vocation itself, rather than to the individuals who have the vocation, then the type 'Occupation or Discipline' will be assigned instead.||prog||
STY|T098|Population Group|A2.9.2|An indivdual or individuals classified according to their sex, racial origin, religion, common place of living, financial or social status, or some other cultural or behavioral attribute.||NULL||popg||
STY|T099|Family Group|A2.9.3|An individual or individuals classified according to their family relationships or relative position in the family unit.||NULL||famg||
STY|T100|Age Group|A2.9.4|An individual or individuals classified according to their age.||NULL||aggp||
STY|T101|Patient or Disabled Group|A2.9.5|An individual or individuals classified according to a disability, disease, condition or treatment.||NULL||podg||
STY|T121|Pharmacologic Substance|A1.4.1.1.1|A substance used in the treatment or prevention of pathologic disorders. This includes substances that occur naturally in the body and are administered therapeutically.||If a substance is both endogenous and typically used as a drug, then this type and the type 'Biologically Active Substance' or one of its children are assigned. Body substances that are used therapeutically such as whole blood preparation, NOS would only receive the type 'Body Substance'. Substances used in the diagnosis or analysis of normal and abnormal body functions should be given the type 'Indicator, Reagent, or Diagnostic Aid'.||phsu||
STY|T184|Sign or Symptom|A2.2.2|An observable manifestation of a disease or condition based on clinical judgment, or a manifestation of a disease or condition which is experienced by the patient and reported as a subjective observation.||NULL||sosy||
STY|T195|Antibiotic|A1.4.1.1.1.1|A pharmacologically active compound produced by growing microorganisms which kill or inhibit growth of other microorganisms.||NULL||antb||
STY|T200|Clinical Drug|A1.3.3|A pharmaceutical preparation as produced by the manufacturer. The name usually includes the substance, its strength, and the form, but may include the substance and only one of the other two items.||Do not double type with Pharmacologic Substance, Antibiotic, or other chemical semantic types.||clnd||
STY|T201|Clinical Attribute|A2.3.1|An observable or measurable property or state of an organism of clinical interest.||These are the attributes that are being evaluated or measured, not the results of the evaluation.||clna||
STY|T203|Drug Delivery Device|A1.3.1.1|A medical device that contains a clinical drug or drugs.||NULL||drdd||
STY|T005|Virus|A1.1.4|An organism consisting of a core of a single nucleic acid enclosed in a protective coat of protein. A virus may replicate only inside a host living cell. A virus exhibits some but not all of the usual characteristics of living things.||NULL||virs||
STY|T007|Bacterium|A1.1.2|A small, typically one-celled, prokaryotic micro-organism.||NULL||bact||
STY|T129|Immunologic Factor|A1.4.1.1.3.5|A biologically active substance whose activities affect or play a role in the functioning of the immune system.||Antigens and antibodies are assigned to this type. Unlike most biologically active substances, some immunologic factors may be exogenous. Vaccines should be given this type and the type 'Pharmacologic Substance'.||imft||
STY|T130|Indicator, Reagent, or Diagnostic Aid|A1.4.1.1.4|A substance primarily of interest for its use in laboratory or diagnostic tests and procedures to detect, measure, examine, or analyze other chemicals, processes, or conditions.||Radioactive imaging agents should be assigned to this type and not to the type 'Pharmacologic Substance' unless they are also being used therapeutically.||irda||
STY|T190|Anatomical Abnormality|A1.2.2|An abnormal structure, or one that is abnormal in size or location.||Use this type if the abnormality in question can be either an acquired or congenital abnormality. Neoplasms are not included here. These are given the type 'Neoplastic Process'. If an anatomical abnormality has a pathologic manifestation, then it will additionally be given the type 'Disease or Syndrome', e.g., "Diabetic Cataract" will be double-typed for this reason.||anab||
STY|T184|Sign or Symptom|A2.2.2|An observable manifestation of a disease or condition based on clinical judgment, or a manifestation of a disease or condition which is experienced by the patient and reported as a subjective observation.||NULL||sosy||
STY|T190|Anatomical Abnormality|A1.2.2|An abnormal structure, or one that is abnormal in size or location.||Use this type if the abnormality in question can be either an acquired or congenital abnormality. Neoplasms are not included here. These are given the type 'Neoplastic Process'. If an anatomical abnormality has a pathologic manifestation, then it will additionally be given the type 'Disease or Syndrome', e.g., "Diabetic Cataract" will be double-typed for this reason.||anab||
STY|T191|Neoplastic Process|B2.2.1.2.1.2|A new and abnormal growth of tissue in which the growth is uncontrolled and progressive. The growths may be malignant or benign.||All neoplasms are assigned to this type. Do not also assign a type from the 'Anatomical Abnormality' hierarchy.||neop||
STY|T131|Hazardous or Poisonous Substance|A1.4.1.1.5|A substance of concern because of its potentially hazardous or toxic effects. This would include most drugs of abuse, as well as agents that require special handling because of their toxicity.||Most pharmaceutical agents, although potentially harmful, are excluded here and are assigned to the type 'Pharmacologic Substance'. All pesticides are assigned to this type.||hops||
